scope,condition,num_batches,n_mean,MR_mean,MR_sd,support_mean,support_sd,base_EM_mean,base_EM_sd,strong_EM_mean,strong_EM_sd,strong_W_to_R_mean,strong_R_to_W_mean,strong_net_mean,strong_flip_rate_mean
batch0,base,1,10.0,0.0,,0.55,,0.2,,0.5,,0.0,0.0,0.0,0.0
batch0,delta_p_custom_preserve,1,10.0,0.16666666666666666,,0.65,,0.1,,0.5,,0.0,0.0,0.0,0.0
batch0,delta_p_custom_signed,1,10.0,0.0,,0.55,,0.2,,0.4,,0.0,1.0,-1.0,0.1
batch0,delta_p_neg_only,1,10.0,0.0,,0.55,,0.1,,0.6,,1.0,0.0,1.0,0.1
batch0,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,,0.5,,0.1,,0.5,,1.0,1.0,0.0,0.2
batch0,endpoint_delta_custom_signed,1,10.0,0.3333333333333333,,0.6,,0.2,,0.5,,0.0,0.0,0.0,0.0
batch0,endpoint_delta_neg_only,1,10.0,0.16666666666666666,,0.45,,0.2,,0.5,,0.0,0.0,0.0,0.0
batch1,base,1,9.0,0.0,,0.5555555555555556,,0.0,,0.3333333333333333,,0.0,0.0,0.0,0.0
batch1,delta_p_custom_preserve,1,10.0,0.16666666666666666,,0.65,,0.0,,0.5,,1.0,0.0,1.0,0.1111111111111111
batch1,delta_p_custom_signed,1,10.0,0.16666666666666666,,0.65,,0.0,,0.4,,0.0,0.0,0.0,0.0
batch1,delta_p_neg_only,1,10.0,0.16666666666666666,,0.6,,0.0,,0.4,,0.0,0.0,0.0,0.0
batch1,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,,0.65,,0.1,,0.5,,1.0,0.0,1.0,0.1111111111111111
batch1,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,,0.65,,0.1,,0.6,,2.0,0.0,2.0,0.2222222222222222
batch1,endpoint_delta_neg_only,1,10.0,0.3333333333333333,,0.7,,0.0,,0.5,,1.0,0.0,1.0,0.1111111111111111
batch2,base,1,10.0,0.0,,0.45,,0.1,,0.3,,0.0,0.0,0.0,0.0
batch2,delta_p_custom_preserve,1,10.0,0.16666666666666666,,0.4,,0.1,,0.3,,1.0,1.0,0.0,0.2
batch2,delta_p_custom_signed,1,10.0,0.16666666666666666,,0.4,,0.1,,0.4,,1.0,0.0,1.0,0.1
batch2,delta_p_neg_only,1,10.0,0.0,,0.45,,0.1,,0.3,,1.0,1.0,0.0,0.2
batch2,endpoint_delta_custom_preserve,1,8.0,0.125,,0.4375,,0.125,,0.375,,0.0,0.0,0.0,0.0
batch2,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,,0.4,,0.1,,0.5,,3.0,1.0,2.0,0.4
batch2,endpoint_delta_neg_only,1,8.0,0.2,,0.375,,0.125,,0.625,,3.0,0.0,3.0,0.375
full143,base,3,141.33333333333334,0.0703125,0.04059494080239556,0.5459161588918856,0.02737938528628972,0.15331468717743815,0.004700234436015836,0.46463889721306567,0.009269754778237946,0.0,0.0,0.0,0.0
full143,delta_p_custom_preserve,3,119.66666666666667,0.18177083333333333,0.02761399196210743,0.6229861053804715,0.040173196110096454,0.22503578137380953,0.08702728797937709,0.5636739862091975,0.14468012659913604,5.333333333333333,4.0,1.3333333333333333,0.07934226362742665
full143,delta_p_custom_signed,3,142.66666666666666,0.191025641025641,0.05164932584226586,0.5876177812797531,0.017486129677429976,0.16118388653599922,0.023931532625746283,0.4953872418661151,0.022291077073016176,9.333333333333334,6.0,3.3333333333333335,0.10885145387692585
full143,delta_p_neg_only,3,142.66666666666666,0.1779246794871795,0.015058294280546725,0.5666059292819856,0.01226423952311233,0.13086444072359565,0.022689844603450197,0.49300699300699297,0.009250878710016062,9.666666666666666,6.666666666666667,3.0,0.11583924349881795
full143,endpoint_delta_custom_preserve,3,141.0,0.1980635683760684,0.08005926855642428,0.570747746394463,0.020533708563477634,0.14422611590834458,0.016474375198987864,0.4917243411044115,0.004098698557553564,9.333333333333334,7.0,2.3333333333333335,0.11738562381519362
full143,endpoint_delta_custom_signed,3,143.0,0.15384615384615385,0.04282895663715402,0.5629370629370629,0.02126840045558818,0.13752913752913754,0.010681994626936683,0.48717948717948717,0.010681994626936697,7.333333333333333,5.0,2.3333333333333335,0.08730396563779842
full143,endpoint_delta_neg_only,3,143.0,0.22051282051282053,0.0355292473347462,0.5815850815850815,0.02529432915409176,0.1585081585081585,0.022479372403246982,0.4731934731934732,0.0040374144698575145,5.666666666666667,5.333333333333333,0.3333333333333333,0.07779775580195118
